ronda,equipo1,cant.goles1,cant.goles2,equipo2
1,Argentina,1,2,Arabia Saudita
1,Polonia,0,0,Mexico
1,Argentina,2,0,Mexico
1,Arabia Saudita,0,2,Polonia
